cell	family	n_obs	beta_t	out_dev	tau2	n_chunks
n16_b0_o0_tnone	gaussian	16	0	0	none	1
n16_b0_o0_t1	gaussian	16	0	0	1	1
n16_b0_o20_tnone	gaussian	16	0	20	none	1
n16_b0_o20_t1	gaussian	16	0	20	1	1
n16_b0_o200_tnone	gaussian	16	0	200	none	1
n16_b0_o200_t1	gaussian	16	0	200	1	1
n16_b0.05_o0_tnone	gaussian	16	0.05	0	none	1
n16_b0.05_o0_t1	gaussian	16	0.05	0	1	1
n16_b0.05_o20_tnone	gaussian	16	0.05	20	none	1
n16_b0.05_o20_t1	gaussian	16	0.05	20	1	1
n16_b0.05_o200_tnone	gaussian	16	0.05	200	none	1
n16_b0.05_o200_t1	gaussian	16	0.05	200	1	1
n16_b0.1_o0_tnone	gaussian	16	0.1	0	none	1
n16_b0.1_o0_t1	gaussian	16	0.1	0	1	1
n16_b0.1_o20_tnone	gaussian	16	0.1	20	none	1
n16_b0.1_o20_t1	gaussian	16	0.1	20	1	1
n16_b0.1_o200_tnone	gaussian	16	0.1	200	none	1
n16_b0.1_o200_t1	gaussian	16	0.1	200	1	1
n16_b0.2_o0_tnone	gaussian	16	0.2	0	none	1
n16_b0.2_o0_t1	gaussian	16	0.2	0	1	1
n16_b0.2_o20_tnone	gaussian	16	0.2	20	none	1
n16_b0.2_o20_t1	gaussian	16	0.2	20	1	1
n16_b0.2_o200_tnone	gaussian	16	0.2	200	none	1
n16_b0.2_o200_t1	gaussian	16	0.2	200	1	1
n16_b0.5_o0_tnone	gaussian	16	0.5	0	none	1
n16_b0.5_o0_t1	gaussian	16	0.5	0	1	1
n16_b0.5_o20_tnone	gaussian	16	0.5	20	none	1
n16_b0.5_o20_t1	gaussian	16	0.5	20	1	1
n16_b0.5_o200_tnone	gaussian	16	0.5	200	none	1
n16_b0.5_o200_t1	gaussian	16	0.5	200	1	1
n16_b1_o0_tnone	gaussian	16	1	0	none	1
n16_b1_o0_t1	gaussian	16	1	0	1	1
n16_b1_o20_tnone	gaussian	16	1	20	none	1
n16_b1_o20_t1	gaussian	16	1	20	1	1
n16_b1_o200_tnone	gaussian	16	1	200	none	1
n16_b1_o200_t1	gaussian	16	1	200	1	1
n32_b0_o0_tnone	gaussian	32	0	0	none	1
n32_b0_o0_t1	gaussian	32	0	0	1	1
n32_b0_o20_tnone	gaussian	32	0	20	none	1
n32_b0_o20_t1	gaussian	32	0	20	1	1
n32_b0_o200_tnone	gaussian	32	0	200	none	1
n32_b0_o200_t1	gaussian	32	0	200	1	1
n32_b0.05_o0_tnone	gaussian	32	0.05	0	none	1
n32_b0.05_o0_t1	gaussian	32	0.05	0	1	1
n32_b0.05_o20_tnone	gaussian	32	0.05	20	none	1
n32_b0.05_o20_t1	gaussian	32	0.05	20	1	1
n32_b0.05_o200_tnone	gaussian	32	0.05	200	none	1
n32_b0.05_o200_t1	gaussian	32	0.05	200	1	1
n32_b0.1_o0_tnone	gaussian	32	0.1	0	none	1
n32_b0.1_o0_t1	gaussian	32	0.1	0	1	1
n32_b0.1_o20_tnone	gaussian	32	0.1	20	none	1
n32_b0.1_o20_t1	gaussian	32	0.1	20	1	1
n32_b0.1_o200_tnone	gaussian	32	0.1	200	none	1
n32_b0.1_o200_t1	gaussian	32	0.1	200	1	1
n32_b0.2_o0_tnone	gaussian	32	0.2	0	none	1
n32_b0.2_o0_t1	gaussian	32	0.2	0	1	1
n32_b0.2_o20_tnone	gaussian	32	0.2	20	none	1
n32_b0.2_o20_t1	gaussian	32	0.2	20	1	1
n32_b0.2_o200_tnone	gaussian	32	0.2	200	none	1
n32_b0.2_o200_t1	gaussian	32	0.2	200	1	1
n32_b0.5_o0_tnone	gaussian	32	0.5	0	none	1
n32_b0.5_o0_t1	gaussian	32	0.5	0	1	1
n32_b0.5_o20_tnone	gaussian	32	0.5	20	none	1
n32_b0.5_o20_t1	gaussian	32	0.5	20	1	1
n32_b0.5_o200_tnone	gaussian	32	0.5	200	none	1
n32_b0.5_o200_t1	gaussian	32	0.5	200	1	1
n32_b1_o0_tnone	gaussian	32	1	0	none	1
n32_b1_o0_t1	gaussian	32	1	0	1	1
n32_b1_o20_tnone	gaussian	32	1	20	none	1
n32_b1_o20_t1	gaussian	32	1	20	1	1
n32_b1_o200_tnone	gaussian	32	1	200	none	1
n32_b1_o200_t1	gaussian	32	1	200	1	1
n64_b0_o0_tnone	gaussian	64	0	0	none	1
n64_b0_o0_t1	gaussian	64	0	0	1	1
n64_b0_o20_tnone	gaussian	64	0	20	none	1
n64_b0_o20_t1	gaussian	64	0	20	1	1
n64_b0_o200_tnone	gaussian	64	0	200	none	1
n64_b0_o200_t1	gaussian	64	0	200	1	1
n64_b0.05_o0_tnone	gaussian	64	0.05	0	none	1
n64_b0.05_o0_t1	gaussian	64	0.05	0	1	1
n64_b0.05_o20_tnone	gaussian	64	0.05	20	none	1
n64_b0.05_o20_t1	gaussian	64	0.05	20	1	1
n64_b0.05_o200_tnone	gaussian	64	0.05	200	none	1
n64_b0.05_o200_t1	gaussian	64	0.05	200	1	1
n64_b0.1_o0_tnone	gaussian	64	0.1	0	none	1
n64_b0.1_o0_t1	gaussian	64	0.1	0	1	1
n64_b0.1_o20_tnone	gaussian	64	0.1	20	none	1
n64_b0.1_o20_t1	gaussian	64	0.1	20	1	1
n64_b0.1_o200_tnone	gaussian	64	0.1	200	none	1
n64_b0.1_o200_t1	gaussian	64	0.1	200	1	1
n64_b0.2_o0_tnone	gaussian	64	0.2	0	none	1
n64_b0.2_o0_t1	gaussian	64	0.2	0	1	1
n64_b0.2_o20_tnone	gaussian	64	0.2	20	none	1
n64_b0.2_o20_t1	gaussian	64	0.2	20	1	1
n64_b0.2_o200_tnone	gaussian	64	0.2	200	none	1
n64_b0.2_o200_t1	gaussian	64	0.2	200	1	1
n64_b0.5_o0_tnone	gaussian	64	0.5	0	none	1
n64_b0.5_o0_t1	gaussian	64	0.5	0	1	1
n64_b0.5_o20_tnone	gaussian	64	0.5	20	none	1
n64_b0.5_o20_t1	gaussian	64	0.5	20	1	1
n64_b0.5_o200_tnone	gaussian	64	0.5	200	none	1
n64_b0.5_o200_t1	gaussian	64	0.5	200	1	1
n64_b1_o0_tnone	gaussian	64	1	0	none	1
n64_b1_o0_t1	gaussian	64	1	0	1	1
n64_b1_o20_tnone	gaussian	64	1	20	none	1
n64_b1_o20_t1	gaussian	64	1	20	1	1
n64_b1_o200_tnone	gaussian	64	1	200	none	1
n64_b1_o200_t1	gaussian	64	1	200	1	1
n128_b0_o0_tnone	gaussian	128	0	0	none	1
n128_b0_o0_t1	gaussian	128	0	0	1	1
n128_b0_o20_tnone	gaussian	128	0	20	none	1
n128_b0_o20_t1	gaussian	128	0	20	1	1
n128_b0_o200_tnone	gaussian	128	0	200	none	1
n128_b0_o200_t1	gaussian	128	0	200	1	1
n128_b0.05_o0_tnone	gaussian	128	0.05	0	none	1
n128_b0.05_o0_t1	gaussian	128	0.05	0	1	1
n128_b0.05_o20_tnone	gaussian	128	0.05	20	none	1
